SJC, LAX, LHR, KIX, DFW

3232235777
128.0.0.0
2889875456 524288
172.64.151.128 	 colo=DFW
172.64.150.64 	 colo=DFW
172.64.151.64 	 colo=DFW
172.64.152.0 	 colo=DFW
172.64.152.64 	 colo=DFW
172.64.153.0 	 colo=DFW
172.64.152.128 	 colo=DFW
172.64.152.192 	 colo=DFW
172.64.153.128 	 colo=DFW
172.64.153.192 	 colo=DFW
172.64.154.0 	 colo=DFW
172.64.153.64 	 colo=DFW
172.64.154.64 	 colo=DFW
172.64.154.128 	 colo=DFW
172.64.155.0 	 colo=DFW
172.64.155.128 	 colo=DFW
172.64.154.192 	 colo=DFW
172.64.155.64 	 colo=DFW
172.64.156.0 	 colo=DFW
172.64.156.128 	 colo=DFW
172.64.155.192 	 colo=DFW
172.64.156.64 	 colo=DFW
172.64.156.192 	 colo=DFW
172.64.157.192 	 colo=DFW
172.64.157.64 	 colo=DFW
172.64.157.128 	 colo=DFW
172.64.157.0 	 colo=DFW
172.64.158.64 	 colo=DFW
172.64.158.0 	 colo=DFW
172.64.158.128 	 colo=DFW
172.64.160.0 	 colo=LAX
172.64.159.64 	 colo=DFW
172.64.158.192 	 colo=DFW
172.64.159.0 	 colo=DFW
172.64.160.64 	 colo=SJC
172.64.160.128 	 colo=SJC
172.64.160.192 	 colo=LAX
172.64.159.128 	 colo=DFW
172.64.161.0 	 colo=SJC
172.64.161.192 	 colo=SJC
172.64.161.64 	 colo=LAX
172.64.162.0 	 colo=LAX
172.64.159.192 	 colo=DFW
172.64.161.128 	 colo=LAX
172.64.162.64 	 colo=LAX
172.64.162.192 	 colo=LAX
172.64.162.128 	 colo=SJC
172.64.163.128 	 colo=SJC
172.64.163.0 	 colo=LAX
172.64.163.64 	 colo=LAX
172.64.163.192 	 colo=SJC
172.64.164.0 	 colo=SJC
172.64.164.64 	 colo=SJC
172.64.164.192 	 colo=LAX
172.64.165.0 	 colo=SJC
172.64.164.128 	 colo=SJC
172.64.165.64 	 colo=SJC
172.64.165.192 	 colo=LAX
172.64.166.64 	 colo=SJC
172.64.166.0 	 colo=LAX
172.64.165.128 	 colo=LAX
172.64.167.64 	 colo=SJC
172.64.166.128 	 colo=LAX
172.64.166.192 	 colo=LAX
172.64.167.0 	 colo=LAX
172.64.167.192 	 colo=LAX
172.64.167.128 	 colo=SJC
172.64.168.0 	 colo=SJC
172.64.168.64 	 colo=SJC
172.64.169.64 	 colo=SJC
172.64.168.192 	 colo=SJC
172.64.168.128 	 colo=LAX
172.64.169.0 	 colo=SJC
172.64.170.0 	 colo=SJC
172.64.169.192 	 colo=SJC
172.64.169.128 	 colo=LAX
172.64.170.192 	 colo=SJC
172.64.170.128 	 colo=LAX
172.64.170.64 	 colo=LAX
172.64.171.0 	 colo=LAX
172.64.171.128 	 colo=LAX
172.64.171.64 	 colo=SJC
172.64.171.192 	 colo=SJC
172.64.172.0 	 colo=SJC
172.64.172.64 	 colo=SJC
172.64.172.128 	 colo=LAX
172.64.173.0 	 colo=LAX
172.64.172.192 	 colo=SJC
172.64.173.64 	 colo=LAX
172.64.173.128 	 colo=LAX
172.64.173.192 	 colo=LAX
